yearID,lgID,teamID,franchID,divID,Rank,G,Ghome,W,L,DivWin,WCWin,LgWin,WSWin,R,AB,H,2B,3B,HR,BB,SO,SB,CS,HBP,SF,RA,ER,ERA,CG,SHO,SV,IPouts,HA,HRA,BBA,SOA,E,DP,FP,name,park,attendance,BPF,PPF,teamIDBR,teamIDlahman45,teamIDretro
2009,AL,MIN,MIN,C,1,163,82,87,76,Y,N,N,N,817,5608,1539,271,40,172,585,1021,85,32,45,57,765,726,4.5,4,7,48,4359,1542,185,466,1052,89,133,0.98,Minnesota Twins,Hubert H Humphrey Metrodome,2416237,99,98,MIN,MIN,MIN
2009,AL,DET,DET,C,2,163,81,86,77,N,N,N,N,743,5540,1443,245,35,183,540,1114,72,33,61,39,745,690,4.34,4,9,42,4341,1449,182,594,1102,106,164,0.98,Detroit Tigers,Comerica Park,2567165,101,102,DET,DET,DET
2009,AL,CHA,CHW,C,3,162,81,79,83,N,N,N,N,724,5463,1410,246,20,184,534,1022,113,49,62,39,732,663,4.16,4,11,36,4319,1438,169,507,1119,128,156,0.98,Chicago White Sox,U.S. Cellular Field,2284163,105,105,CHW,CHA,CHA
2009,AL,CLE,CLE,C,4,162,81,65,97,N,N,N,N,773,5568,1468,314,28,161,582,1211,84,31,81,50,865,806,5.07,5,6,25,4302,1570,183,598,986,114,169,0.98,Cleveland Indians,Jacobs Field,1766242,95,95,CLE,CLE,CLE
2009,AL,KCA,KCR,C,4,162,81,65,97,N,N,N,N,686,5532,1432,276,51,144,457,1091,88,29,42,32,842,765,4.83,10,9,34,4278,1486,166,600,1153,127,159,0.98,Kansas City Royals,Kauffman Stadium,1797891,97,99,KCR,KCA,KCA
2009,AL,NYA,NYY,E,1,162,81,103,59,Y,N,Y,Y,915,5660,1604,325,21,244,663,1014,111,28,54,39,753,687,4.28,3,8,51,4350,1386,181,574,1260,101,131,0.98,New York Yankees,Yankee Stadium III,3719358,105,103,NYY,NYA,NYA
2009,AL,BOS,BOS,E,2,162,81,95,67,N,Y,N,N,872,5543,1495,335,25,212,659,1120,126,39,70,51,736,695,4.35,8,11,41,4310,1494,167,530,1230,92,119,0.98,Boston Red Sox,Fenway Park II,3062699,106,105,BOS,BOS,BOS
2009,AL,TBA,TBD,E,3,162,81,84,78,N,N,N,N,803,5462,1434,297,36,199,642,1229,194,61,49,45,754,686,4.36,3,5,41,4282,1421,183,515,1125,111,135,0.98,Tampa Bay Rays,Tropicana Field,1874962,98,97,TBR,TBA,TBA
2009,AL,TOR,TOR,E,4,162,81,75,87,N,N,N,N,798,5696,1516,339,13,209,548,1028,73,23,45,49,771,720,4.47,10,10,25,4353,1509,181,551,1181,88,167,0.98,Toronto Blue Jays,Rogers Centre,1876129,100,99,TOR,TOR,TOR
2009,AL,BAL,BAL,E,5,162,81,64,98,N,N,N,N,741,5618,1508,307,19,160,517,1013,76,37,39,46,876,817,5.16,2,3,31,4287,1633,218,546,933,108,151,0.98,Baltimore Orioles,Oriole Park at Camden Yards,1907163,101,102,BAL,BAL,BAL
